,address,coordinates
10016,69 Kilmarnock St.,"[42.34255352228116, -71.09969436200117]"
10079,30 Kilmarnock St.,"[42.3436817, -71.0998724]"
10115,7-17 Melnea Cass Blvd.,"[42.33193588703373, -71.07457727193834]"
10135,90 Traveler St.,"[42.343998, -71.061614]"
10259,126 S. Dartmouth St.,"[42.346714230174676, -71.07582449913025]"
10373,75 Sleeper St.,"[42.35334322791672, -71.0481331218034]"
10549,250 New Rutherford Ave.,"[42.373479, -71.068082]"
10698,269 Commercial St.,"[42.3645455749108, -71.05102211236955]"
10835,20 Clinton St.,"[42.360807719488335, -71.05439718849084]"
10836,101 Beverly St.,"[42.36554034475287, -71.05957385156216]"
3864,183 N. Washington St.,"[42.366576646886585, -71.05836197742065]"
3980,660 Washington St.,"[42.35175674390261, -71.06263156983914]"
4048,275 Washington St.,"[42.35805634368634, -71.05799317359926]"
4457,47 Boylston St.,"[42.35237860509885, -71.06381088495255]"
4801,294 Atlantic Ave.,"[42.356938477255326, -71.05051886290313]"
5233,30 Hawley St.,"[42.35629693151225, -71.05832819826901]"
5283,131 Dartmouth St.,"[42.34656356966488, -71.07549559324981]"
5288,100 High St.,"[42.35445293701625, -71.0549593018368]"
5388,17-23 West St.,"[42.354698720494575, -71.06229912489653]"
5389,47 Broad St.,"[42.35813958826331, -71.05417370796205]"
5771,100 Clarendon St.,"[42.34815870252545, -71.07421517372133]"
5888,400 Stuart St.,"[42.349102200595624, -71.07345586472547]"
5928,40 Charles St. S.,"[42.35136647286046, -71.06693553272635]"
6010,100 Huntington Ave.,"[42.34748069396634, -71.07877257605742]"
6225,80 New Chardon St.,"[42.36287641941097, -71.06014430522919]"
6759,490 Atlantic Ave.,"[42.354238079903425, -71.0521700314265]"
6765,75 Devonshire St.,"[42.357917602479695, -71.05739772319794]"
7399,76 Gainsborough St.,"[42.34227355837634, -71.08806442469358]"
7468,1 Ave. de Lafayette,"[42.35353450273297, -71.06122072789731]"
7601,144 Charles St.,"[42.360044273336136, -71.07089967001231]"
7919,975 Commonwealth Ave.,"[42.35173398329809, -71.11995608829604]"
8135,34 Cooper St.,"[42.364398471768034, -71.05693638324738]"
8138,40 Beach St.,"[42.351515353630475, -71.06185924261808]"
8601,0 Charles St.,"[42.35360358912856, -71.06784626841545]"
8852,45 Province St.,"[42.357350742367124, -71.05980634689331]"
8865,89 St. James Ave.,"[42.3502284, -71.07346319999999]"
8929,58 Hull St.,"[42.3674399, -71.05702819999999]"
8932,201 Stuart St.,"[42.350841394759286, -71.06792002916336]"
9084,54 Hull St.,"[42.36707559906462, -71.05659280903637]"
9140,43 Stillman St.,"[42.363815815456086, -71.05758916586639]"
9250,821 Washington St.,"[42.34909089959819, -71.06407902854141]"
9292,363 D St.,"[42.34254714454482, -71.04560136795044]"
9415,236 Essex St.,"[42.35189593897681, -71.05665039271118]"
9489,99 Kneeland St.,"[42.349779302992054, -71.06036242101254]"
9555,12 Drydock Ave.,"[42.34476989788826, -71.03433314856376]"
9579,12 Drydock Ave.,"[42.34472013428495, -71.03434631600977]"
9651,86 Beach St.,"[42.35100449999999, -71.0589043]"
9653,132 Arlington St.,"[42.348988961752184, -71.06938141398132]"
9674,200 Stuart St.,"[42.35078192745313, -71.0673899576068]"
9723,776 Boylston St.,"[42.3488533529757, -71.08168598268094]"
9808,5 Well St.,"[42.35786210591126, -71.0528183542192]"
